secondary_name,objectid,address,feat_type,sub_type,vanity_name,name,bldg,parent_name,parent_type,acreage,parent_acreage
,3252,3500 S BROAD ST,Park,,,Parks And Recreation Districts 7 & 8 Operations Office,Y,Franklin D. Roosevelt Park,Park,0.39699158,342.74674317
,3253,3500 SPRING GARDEN ST,House of Worship,,,Kingdom Worship Center Church,Y,,,0.10349062,
,3254,3501-15 POWELTON AVE,School,Elementary School,,Samuel Powel Elementary School,Y,,,0.33342332,
,3454,3400 W GIRARD AVE,Zoo,,,Shelly Administration Building,Y,Philadelphia Zoological Garden,Park,0.1741935,43.79150814
,3455,3400 W GIRARD AVE,Zoo,,,Solitude ,Y,Philadelphia Zoological Garden,Park,0.0275633,43.79150814
,3456,3400 W GIRARD AVE,Zoo,,,The Treehouse,Y,Philadelphia Zoological Garden,Park,0.19896306,43.79150814
,3457,3400 W GIRARD AVE,Zoo,,,Zoo Shop,Y,Philadelphia Zoological Garden,Park,0.04734259,43.79150814
,3458,3528-30 N LAWRENCE ST,House of Worship,,,La Segunda Inglesia del Alfarero,Y,,,0.0413546,
,3459,3528-34 N 16TH ST,House of Worship,,,Gods' Church-The Apostle's,Y,,,0.09505066,
,3460,3528-78 I ST,Shopping Center Ground,,,Harrowgate Plaza Shopping Center,Y,Harrowgate Plaza Shopping Center,Shopping Center Ground,1.52807432,8.73774869
,3461,3528 N 9TH ST,House of Worship,,,Inglesia Nueva Jurusalem,Y,,,0.06024454,
,3462,3529-39 N 9TH ST,House of Worship,,,Fifteenth Street Baptist Church,Y,,,0.07993833,
,3463,3529 HAVERFORD AVE,School,Elementary School,,Montessori Genesis II Elementary School,Y,,,0.20503934,
,3464,3531 AVALON ST,House of Worship,,,Whitehall Baptist Church,Y,,,0.08531363,
,3465,3536 G ST,House of Worship,,,Tioga Heights Christian Church,Y,,,0.06283647,
,3466,3537 N 5TH ST,House of Worship,,,Inglesia de Dios Pentecostal Reconciliados con Dios,Y,,,0.03459686,
,3467,3548 GERMANTOWN AVE,Fire Station,,,Former Engine 30,Y,,,0.11684492,
,3468,3550 N 5TH ST,House of Worship,,,Southern Baptist Church,Y,,,0.17723752,
,3469,3558 FRANKFORD AVE,House of Worship,,,St Joan of Arc,Y,,,0.29284367,
,3471,6501-6951 KEYSTONE ST,Park,,,Disston Park,N,Disston Park,Park,25.03202088,25.27182435
,2869,3156-64 D ST,House of Worship,,,Iglesia Apostolica Luz,Y,,,0.07694402,
,2870,316 S 59TH ST,House of Worship,,,United Memorial Gospel Church,Y,,,0.02557829,
,2871,3167 FRANKFORD AVE,House of Worship,,,Cornerstone Community Church,Y,,,0.17867113,
,2872,317-19 N 52ND ST,House of Worship,,,New Beginnings Sanctuary of Praise Church of God in Christ,Y,,,0.07420235,
,2873,3178 KENSINGTON AVE,Transportation,,,Allegheny Station ,Y,,,0.61941484,
,2874,3178 KENSINGTON AVE,Building,,Kensington Trust Company,Wells Fargo Bank,Y,,,0.22568986,
,2880,601 PORT ROYAL AVE,Nature Preserve,,,Roxborough Reservoir,N,,,37.28518654,
,3280,6537 RISING SUN AVE,House of Worship,,,Bethany United Church-Christ,Y,,,0.08917454,
,2875,6000 WOODLAND AVE,Shopping Center Ground,Parking Lot,,Woodland Ave Shopping Plaza,N,Woodland Ave Shopping Plaza,Shopping Center Ground,4.50745981,6.93184095
,2876,6001 OXFORD AVE,Cemetery,,,Har Nebo Cemetery,N,Har Nebo Cemetery,Cemetery,23.18302226,23.26325501
,2877,601-61 N DELAWARE AVE,Pier,,,Festival Pier,N,Festival Pier,Pier,11.2880907,11.59680945
,2878,601 BORBECK AVE,Playground,,,Fox Chase Playground Recreation Center,N,Fox Chase Playground Recreation Center,Playground,13.77569287,14.15338267
,2879,601 E INDIANA AVE,Park,,,McPherson Square,N,McPherson Square,Park,6.23651351,6.39112992
,3040,6024 RIDGE AVE,Shopping Center Ground,Parking Lot,,Shopping Center,N,Shopping Center,Shopping Center Ground,0.76835114,235.41966052
